Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
 ISABELINO6	Collar Isabelino N.6	$0.00	$300.00	$240.00	2	1	Gav
 ISABELINO7	Collar Isabelino N.7	$0.00	$400.00	$0.00	1	1	Gav
 CO-DIAL	Collar L Champange Diamantes 	$35.00	$80.00	$0.00	0	1	accesorios
 CO-3	Collar Liston	$0.00	$20.00	$0.00	2	0	accesorios
 PIEL-C3	Collar Piel Ch Roja	$0.00	$100.00	$0.00	0	0	accesorios
 PIEL-C2	Collar Piel Costura Blanca	$0.00	$150.00	$0.00	2	0	accesorios
 CO-2	Collar Piel Sintetica C/Campana	$0.00	$50.00	$0.00	4	0	accesorios
 SINT-P1	Collar Piel Sintetica Costura Blanca	$0.00	$130.00	$0.00	1	0	accesorios
 CO-FLOR	Collar Terciopelo De Colores Con Flor	$43.00	$80.00	$0.00	1	0	accesorios
 CO-1	Collar Verde/Negro Ch	$0.00	$30.00	$0.00	17	1	accesorios
 CO-CORCH	Collares Chicos Cordel 	$25.00	$70.00	$0.00	1	1	accesorios
 CO-GVI	Collares Grandes Con Vista	$50.00	$150.00	$0.00	2	1	accesorios
 CO-CORG	Collares Grandes Cordel	$35.00	$130.00	$0.00	1	1	accesorios
 CO-MVI	Collares Medianos Con Vista 	$40.00	$120.00	$0.00	0	1	accesorios
 CO-CORM	Collares Medianos Cordel	$30.00	$100.00	$0.00	2	1	accesorios
 CO-CORLIS	Collares Mini C/Carton 	$15.00	$50.00	$0.00	5	1	accesorios
 CO-CORMIN	Collares Mini Cordel	$10.00	$50.00	$0.00	8	1	accesorios
 PIEL-C1	Collares Piel Costura Negra 	$0.00	$170.00	$0.00	4	0	accesorios
7.34448E+11	Complejo B 	$162.00	$250.00	$0.00	1	0	aranda 
7.50156E+12	Complete Mobility Tabs 	$235.00	$400.00	$275.00	1	0	accesorios
 PECH-1	Correa + Pechera	$0.00	$75.00	$0.00	0	0	accesorios
 CO-COL	Correa Colores 	$0.00	$130.00	$0.00	1	0	accesorios
 CR-TR	Correa Cordel Trenzado	$60.00	$180.00	$0.00	2	1	accesorios
 CO-EST	Correa Estampado	$0.00	$120.00	$0.00	2	0	accesorios
 CR-COR	Correas Cordel	$50.00	$120.00	$0.00	0	1	accesorios
7.50223E+12	Coxi Pets 5%	$141.00	$220.00	$163.00	0	1	SANTA MARIA
5.42004E+12	Credelio Gato/ 48mg X 3 (2 A 8 Kg)	$489.12	$250.00	$180.00	3	1	CATSAVET
5.42004E+12	Credelio Gato/12mg X 3 (0.5 A 2 Kg)	$451.07	$200.00	$160.00	1	1	CATSAVET
87219131206	Cytopoint 20	$500.00	"$1,000.00"	$820.00	3	1	zegues
87219131268	Cytopoint 40	"$2,710.00"	$850.00	"$2,100.00"	2	1	segavet
 DIARRI 60	DIARRI PET 60 ML 	$74.00	$150.00	$0.00	1	0	aranda 
 DIARRI	DIARRI-PEEK 100ML	$95.00	$200.00	$0.00	2	0	aranda 
7.50635E+12	Dental Boost Tabletas	$24.00	$45.00	$40.00	30	30	ESPINOSA
7.50634E+12	Dermacalm Jabon Tx Dermopatias	$96.00	$180.00	$115.00	3	2	segavet
7.50223E+12	Dermacream	$75.60	$150.00	$0.00	0	0	SANTA MARIA
7.50634E+12	"Dermatril Spa, Extractos Naturales 350 Ml"	$180.00	$250.00	$210.00	0	2	gomez tagle
7.50634E+12	Dermatryl Jabon (Infeccion De Piel Y Saborrea Seca)	$82.00	$150.00	$95.00	0	2	segavet
7.50634E+12	Dermatryl Jabon medicado (saborrea Oleosa)	$122.00	$150.00	$141.00	2	3	telvet
7.50634E+12	Dermatryl Shampoo 350ml	$205.00	$280.00	$240.00	3	2	DYSVET
7.50634E+12	Dermatryl Spa Jabon	$103.00	$130.00	$120.00	0	3	telvet
7.503E+12	Dermoplex Crema 60g	$173.00	$250.00	$200.00	1	2	gomez tagle
7.50635E+12	Deter 20 Coprofagia	$405.00	$550.00	$466.00	2	1	dist.gomez tagle
7.50635E+12	Deter 5 Coprofagia	$221.00	$300.00	$230.00	1	1	dist.gomez tagle
7.50223E+12	Dexa-Jet 100ml	$157.00	$280.00	$181.00	2	1	SANTA MARIA
 43386H	Dexan-2 50 Ml 	$147.00	$200.00	$170.00	1	1	MERAGRO
7.34448E+11	Dextrimazol 40g	$132.00	$250.00	$200.00	1	1	DIAGIPE
 X-4	Diamel 30 Ml 	$353.00	$500.00	$406.00	2	1	- Sin Departamento -
 DZ1722	Diazin 200 6 Tabletas	$85.00	$150.00	$100.00	2	1	DYSVET
7.89802E+11	Diclofenaco 50ml	$115.00	$250.00	$135.00	1	1	Urofino
3.60587E+12	Dogolact 	$241.00	$500.00	$278.00	0	1	SANTA MARIA
 CO-DOM	Dollar Dorado Mediano	$65.00	$130.00	$0.00	0	0	accesorios
7.50635E+12	Dolo-Febre 15 Tabletas	$286.00	$380.00	$329.00	2	1	ESPINOSA
7.50223E+12	Dolocar L	$198.00	$300.00	$240.00	1	1	SANTA MARIA
7.50223E+12	Dolocar M	$106.00	$200.00	$125.00	2	1	SANTA MARIA
7.50223E+12	Dolocar S	$84.00	$150.00	$104.00	1	1	SANTA MARIA
7.50223E+12	Dolocar XL	$366.00	$500.00	$430.00	0	1	SANTA MARIA
 J2H14407	Domogen 30ml Analgesico- Desinflamatorio Topico	$104.00	$150.00	$120.00	2	3	DIPROFARVET
5.50302E+12	Dorzalovet Compuesto	$400.00	$550.00	$460.00	0	1	- Sin Departamento -
7.50223E+12	Doxi Pets L	$283.00	$450.00	$0.00	0	0	SANTA MARIA
7.50223E+12	Doxi Pets M	$164.00	$350.00	$250.00	1	0	SANTA MARIA
7.50223E+12	Doxi Pets S	$127.00	$200.00	$170.00	2	1	SANTA MARIA
7.50636E+12	Doximed-10	$20.00	$500.00	$25.00	0	1	ESPINOSA
7506362	Doximed-30kg	$25.00	$750.00	$30.00	0	2	ESPINOSA
 9408PROM	Doxmas 100gr 10 Tab	$200.00	$350.00	$250.00	4	0	LAS POTRANCAS
9409	Doxmas 200gr 10 Tab 	$206.00	$420.00	$300.00	1	0	LAS POTRANCAS
4.00722E+12	Drontal Cat Ellipsoid/4kg 3 X 8 Tab	$774.03	$950.00	$874.00	1	1	CATSAVET
7.50305E+12	ECTOSOL ANTIPULGAS SHAMPOO	$60.00	$120.00	$0.00	2	0	aranda 
7.50305E+12	ECTOSOL JABON DE BARRA 	$40.00	$80.00	$0.00	5	0	aranda 
7.50201E+12	EFFIPRO DUO 1-6 KG	$651.00	$220.00	$250.00	1	1	segavet
7.50201E+12	EFFIPRO DUO 6-12	$693.00	$250.00	$270.00	9	1	segavet
7.50201E+12	ENDOGARD 10KG VIRBAC	$36.42	$75.00	$50.00	138	24	SURVET
7.50201E+12	ENDOGARD 2.5 KG VIRBAC	$0.00	$50.00	$30.00	141	24	SURVET
7.50201E+12	ENDOGARD 30	$80.63	$200.00	$120.00	26	0	SURVET
 ENER 02	ENER 4 PLEX ADULTO 	$173.00	$380.00	$250.00	1	1	LAS POTRANCAS
 ENER 01	ENER 4 PLEX PUPPY 	$175.00	$350.00	$190.00	0	1	.
7.50634E+12	Efa-Derm 125ml Suplemento 	$246.40	$350.00	$260.40	0	2	DYSVET
7.50634E+12	Efa-Derm 235ml Suplemento	$406.00	$550.00	$430.00	0	1	DYSVET
7.50201E+12	Effipro 10-20	$782.00	$300.00	$0.00	8	0	segavet
7.50201E+12	Effipro 2-10kg 	$750.00	$280.00	$0.00	6	0	segavet
7.50201E+12	Effipro 20-40 Kg 	$819.00	$350.00	$0.00	8	0	segavet
7.50201E+12	Effipro 40-60 Kg 	$829.00	$400.00	$0.00	8	0	segavet
7.5021E+12	Electrodex 525ml	$25.00	$80.00	$50.00	8	3	HUIMANGUILLO
7.50634E+12	Emetin Inyectable 50ml 	$192.00	$350.00	$250.00	2	1	LAS POTRANCAS
 EM151023	Emprazol 10- 30 Tabletas 	$88.00	$190.00	$100.00	3	3	DYSVET
7.50304E+12	Emprazol 30-30 Tab	$98.70	$250.00	$140.00	1	0	DYSVET
7.89619E+12	Endal Plus 	$127.00	$50.00	$150.00	6	3	DIPROFARVET
7.50641E+12	Endovet Antiparasitario Inyectable	$68.00	$100.00	$80.00	0	1	- Sin Departamento -
7.50223E+12	Energy Pets 150 G 	$201.00	$350.00	$290.00	0	1	SANTA MARIA
7.50223E+12	Energy Pets 60 G	$161.00	$290.00	$220.00	0	0	SANTA MARIA
7.50226E+12	Enro 60ml	$83.00	$150.00	$100.00	2	1	HUIMANGUILLO
7.79804E+12	Enzimax 	$303.00	$400.00	$0.00	3	1	segavet
7.50636E+12	Epilepxis-10 30 Tab	$314.00	$600.00	$500.00	5	1	ESPINOSA
7.50636E+12	Epilepxis-30 30 Tab	$21.00	$750.00	$600.00	2	1	ESPINOSA
7.50636E+12	Epilepxis-5 30 Tabletas	$226.00	$500.00	$270.00	0	2	ESPINOSA
7.50201E+12	Epiotic 100ml Limpiador Oidos	$30.00	$150.00	$35.00	1	1	accesorios
7.79804E+12	Epitelizante Ocular	$215.83	$390.00	$230.00	0	1	segavet
